priority,id,class,phyloP,phastCons,denovo,lnTPM,max_Lu_riboTPM,validated by 2nd method
116,1811.1,fast-evolving,0.0832666686134568,0.0266000003680044,Yes,1.92297441011538,0.098867,No
117,2004.1,utORFs,1.3609275437761,0.8545990341904249,Yes,3.2859228844905157,0.135233,No
118,2180.1,alt-frame,1.27570512373812,0.9481794889717821,No,2.249144653033097,0.38403400000000004,No
119,2567.2,alt-frame,2.56558217116994,0.8614084504827851,No,3.500965669923277,0.109398,No
120,248.1,alt-frame,1.3606666713953,0.8214888882719811,Yes,2.2751174886731595,0.32699,No
121,1460.1,unassigned,3.09689213765782,0.9875587769656559,No,4.923648171357944,0.007546,No
122,4976.1,utORFs,0.653902780846693,0.498638887514567,Yes,6.992019590824326,4.391957,No
123,4434.1,alt-frame,1.7290389368238,0.880229436736493,Yes,3.8053254407629806,0.06274,No
124,2129.1,utORFs,1.77729058524685,0.65418376112516,Yes,5.184289497669157,8.662360000000001,No
125,1927.1,alt-frame,2.5222036881894,0.8965074079510049,Yes,2.4215129841643024,0.196062,No
126,4237.1,fast-evolving,-0.23558333406173101,0.0024814815131119603,No,1.2294457952687277,0.27287,No
127,32.1,mel-specific,0.0175268639237047,0.0258476063979996,No,4.997807353425842,0.0,No
128,1318.1,alt-frame,2.1061238016223602,0.9827238099915642,No,3.2265456563681836,0.10353699999999999,No
129,1466.1,utORFs,2.97381815049007,0.9575909100698701,Yes,0.5109758124870999,0.204508,Yes
130,273.1,unassigned,1.96190597652856,0.961504273410114,No,4.2544428484922605,0.003327,No
131,452.1,utORFs,2.3700588326536,0.733313727904769,Yes,5.6087018248411855,1.050405,No
132,1158.1,utORFs,1.53322524021942,0.792981982428312,No,4.781646668569917,7.928489,No
133,4040.1,utORFs,2.02078979355024,0.830987988653042,Yes,2.725083572710274,0.13134500000000002,No
134,2792.1,utORFs,1.17946667439408,0.5784444430118629,Yes,4.572044457421749,14.097693,No
135,2704.1,utORFs,0.405731485563727,0.47048148268044704,Yes,4.480615026174874,0.0,No
136,4083.1,utORFs,0.6999012344936479,0.49522222231435403,Yes,6.621152326737317,0.69814,No
137,1742.1,fast-evolving,-0.0420222213698758,0.0259777777000434,No,4.437563086622297,0.0,No
138,3948.1,utORFs,1.09576191630821,0.583079365699271,Yes,5.11932286894948,1.056733,No
139,891.1,utORFs,0.411186660826206,0.364893334958081,Yes,4.418411985830844,0.0,No
140,4919.1,alt-frame,1.88904243620804,0.824381819483119,No,2.3792030197176,0.174022,No
141,2779.1,utORFs,0.833159422474927,0.6493333342529001,Yes,4.352860624154568,28.085546,No
142,1813.1,utORFs,0.499773625575834,0.883345785130044,Yes,1.5014354655027329,0.03637,No
143,2080.1,alt-frame,1.82638094340828,0.803634922123618,No,2.124285716377394,0.259888,No
144,4720.1,fast-evolving,0.381511112440515,0.185325925966242,Yes,1.536351172491363,0.10735499999999999,No
