1790.1,utORFs
1793.1,utORFs
1800.1,utORFs
1801.1,utORFs
1804.1,utORFs
1807.1,utORFs
1808.1,mel-specific
1811.1,fast-evolving
1812.1,alt-frame
1813.1,utORFs
1814.1,utORFs
1815.1,utORFs
1817.1,utORFs
1818.1,utORFs
1821.1,nonfunctional
1823.1,utORFs
1824.1,utORFs
1828.1,utORFs
1829.1,utORFs
1838.1,utORFs
1840.1,utORFs
1841.1,mel-specific
1848.1,utORFs
1852.1,alt-frame
1854.1,utORFs
1871.1,utORFs
1872.1,utORFs
1874.1,utORFs
1881.1,nonfunctional
1883.1,utORFs
1884.1,utORFs
1887.1,alt-frame
1888.1,utORFs
1896.1,alt-frame
1899.1,alt-frame
1901.1,utORFs
1906.1,utORFs
1907.1,alt-frame
1911.1,fast-evolving
1920.1,nonfunctional
1925.1,utORFs
1927.1,alt-frame
1929.1,utORFs
1930.1,utORFs
1933.1,alt-frame
1934.1,nonfunctional
1935.1,fast-evolving
1939.1,utORFs
1940.1,utORFs
1941.1,utORFs
1942.1,utORFs
1946.1,fast-evolving
1953.1,utORFs
1958.1,utORFs
1959.1,utORFs
1966.1,nonfunctional
1977.1,fast-evolving
1983.1,utORFs
1984.1,utORFs
1989.1,utORFs
1991.1,utORFs
1992.1,fast-evolving
1993.2,alt-frame
2000.1,fast-evolving
2001.1,fast-evolving
2004.1,utORFs
2006.1,utORFs
2008.1,utORFs
2011.1,utORFs
2015.1,alt-frame
2020.1,mel-specific
2024.1,alt-frame
2026.1,utORFs
2030.1,utORFs
2032.1,alt-frame
2033.1,utORFs
2039.1,alt-frame
2041.1,utORFs
2042.1,fast-evolving
2044.1,mel-specific
2049.1,utORFs
2052.1,nonfunctional
2053.1,fast-evolving
2054.1,alt-frame
2055.1,alt-frame
2056.1,utORFs
2060.1,utORFs
2065.1,utORFs
2067.1,alt-frame
2076.1,alt-frame
2079.1,utORFs
2080.1,alt-frame
2081.1,alt-frame
2083.1,fast-evolving
2084.1,utORFs
2101.1,utORFs
2102.1,alt-frame
2110.1,utORFs
2112.1,utORFs
2113.1,fast-evolving
2114.1,utORFs
2129.1,utORFs
2137.1,alt-frame
2140.1,alt-frame
2141.1,nonfunctional
2143.1,utORFs
2144.1,utORFs
2148.1,alt-frame
2154.1,utORFs
2155.1,utORFs
2157.1,utORFs
2158.1,utORFs
2160.1,fast-evolving
