,furthest,genomic,phyloP,phastCons,length,monophyletic,sigTPM,tau,dev_tau
447.1,droMir,sense,1.79941975456996,0.965679010491312,27.0,False,5.370996,0.8109992187375752,0.9062693590441362
450.1,droFic,antisense,0.11740000138059299,0.10276000049430901,25.0,False,2.099768,0.8946988295124128,0.9999999999999996
452.1,droMir,sense,2.3700588326536,0.733313727904769,17.0,False,272.788879,0.8436653065048016,0.7810422364716014
453.1,droGri,antisense,2.15611763243956,0.9369607843166469,17.0,False,4.9303349999999995,0.9473022347395317,0.8146852975138907
456.1,droGri,sense,1.591227508017,0.9491111102339042,63.0,False,9.104478,0.577274163052208,0.8695550495061362
464.1,droFic,sense,1.18714776237358,0.7516048106135279,97.0,False,45.79483,0.6263694508976352,0.9497311673821833
466.1,anoGam,sense,3.3958750076385,0.993555557396677,24.0,True,122.00608100000001,0.7101380386253875,0.6794614411734111
475.1,droFic,intergenic,1.45478222666308,0.8560844444933661,75.0,False,1.7534880000000002,1.0000000000000002,0.9733283486911776
478.1,droRho,intergenic,0.477802196693276,0.390124542579386,91.0,False,0.669154,0.9710529366142617,0.9558328929754559
479.1,droMir,intergenic,1.5944761817975501,0.9252083325582572,56.0,False,0.783144,,0.9618454294416036
481.1,droSec,intergenic,0.312190475659297,0.167095238640387,21.0,False,0.072275,,0.9999999999999996
485.1,dm,sense,0.0,0.0,16.0,True,5.127786,0.7094041437961913,0.7662951461224766
486.1,dm,intergenic,0.0474246027362016,0.0631349201476763,84.0,True,1.1091090000000001,0.9053992451318549,0.9951016237240232
490.1,droFic,antisense,0.865837208053112,0.561821706112936,43.0,False,1.997279,0.8774752138811373,0.9999999999999996
504.1,droWil,antisense,1.60715624774457,0.8305624995021691,32.0,False,3.700958,0.8940552159094219,0.712541083765674
508.1,droRho,antisense,1.4870162541633503,0.807943090711289,41.0,False,8.969234,0.8988135169865683,0.6165170082880173
512.1,droSec,antisense,0.0663854170270497,0.0235937498424998,32.0,True,1.060862,0.9290708531039428,
513.1,droGri,antisense,2.20506479490669,0.9853425939153471,72.0,False,3.88501,0.8029348897883821,
514.1,droFic,antisense,0.0124252908488457,0.0329080459717982,29.0,False,0.0,,
515.1,droWil,antisense,2.50201147700521,0.958735631971524,29.0,False,3.7698660000000004,0.9620534064950876,0.8293488220050456
524.1,droGri,intergenic,1.99321949024632,0.8953902449807142,41.0,False,1.2887790000000001,1.0000000000000002,0.9755238232792997
525.1,musDom,sense,1.4944545407356202,0.835590910319959,22.0,False,51.712711,0.801462195873963,0.6704901744569954
528.1,droGri,intergenic,1.95496969229796,0.959383837351895,33.0,False,1.185131,1.0,0.984780328632171
532.1,musDom,sense,1.4505629542249199,0.813125927009861,45.0,False,70.0317,0.6850184304932503,0.6835863378895581
543.1,musDom,antisense,2.96979738094424,0.7739281050999359,51.0,False,2.822742,0.800316436826641,0.9370737201674407
548.1,,antisense,1.75783243774304,0.7447849467055,234.0,False,21.860582,0.7086464613429584,0.815250897333035
550.1,droGri,sense,0.52253333537115,0.37124444530604206,15.0,False,70.1847,0.6754881100571497,0.6751347220223881
552.1,droGri,intergenic,2.34443135541298,0.9972745110006891,17.0,False,1.189557,0.9532022322747113,0.9999999999999996
553.1,droGri,sense,2.60643752237471,0.969083335250616,16.0,False,1.6837360000000001,0.9132969505339372,0.9193240779036695
