,furthest,genomic,phyloP,phastCons,length,monophyletic,sigTPM,tau,dev_tau
234,10,2,3,3,3,2,1,1,1
235,8,2,2,2,2,2,1,1,1
236,7,1,3,3,3,2,1,1,1
237,6,1,2,2,2,2,1,1,1
238,10,2,2,2,3,2,1,1,2
239,9,3,3,3,2,2,1,1,1
240,10,1,3,3,2,2,1,1,1
241,8,2,3,3,3,2,1,1,2
242,7,2,2,2,3,2,1,1,1
243,12,2,3,3,3,2,1,2,2
244,7,1,3,3,2,1,1,1,2
245,6,3,2,2,3,2,1,1,1
246,3,2,1,1,2,2,1,1,1
247,8,3,2,2,2,2,1,1,2
248,2,1,2,2,2,2,1,1,1
249,10,1,3,2,3,2,1,1,1
250,7,1,3,3,2,2,1,1,1
251,7,3,2,2,2,2,1,2,2
252,10,3,3,3,1,2,1,1,2
253,8,1,3,3,2,2,1,1,1
254,6,1,2,1,2,2,1,1,2
255,10,2,3,2,3,2,1,1,1
256,10,4,3,3,3,2,1,2,1
257,10,1,3,3,2,2,1,1,1
258,10,1,3,3,3,2,1,1,1
259,8,2,3,3,2,2,1,2,1
260,6,1,2,1,2,2,2,1,2
261,9,3,3,2,2,2,1,1,2
262,6,1,2,3,2,2,1,1,1
263,10,2,3,2,3,2,1,1,1
264,10,2,3,3,1,2,1,1,1
265,10,3,2,2,2,2,1,1,1
266,10,1,3,2,3,2,1,2,1
267,11,2,3,3,2,2,2,1,2
268,10,2,3,3,2,2,1,1,2
269,6,1,2,1,2,2,1,2,1
270,8,3,3,3,2,2,1,1,1
271,10,2,3,3,2,2,1,1,2
272,12,3,3,3,3,2,1,2,2
273,8,3,2,2,2,2,1,1,2
274,14,3,3,3,3,2,1,1,2
275,7,2,2,2,1,2,1,1,1
276,10,3,3,2,2,2,1,1,1
277,8,3,2,2,2,2,1,1,1
278,4,2,2,1,2,1,1,1,2
279,6,3,2,2,3,2,1,1,2
280,8,3,2,2,2,2,1,1,2
281,7,3,2,2,2,2,1,1,2
282,11,2,2,3,1,2,1,1,1
283,7,1,2,2,2,2,1,1,2
284,6,2,2,2,1,2,1,1,1
285,7,3,2,2,2,2,1,1,2
286,7,2,2,2,3,2,1,1,1
287,7,1,2,2,3,2,1,1,1
288,9,2,2,2,2,2,1,1,1
289,2,2,2,1,2,2,1,1,1
290,2,3,2,2,2,2,1,1,2
291,3,2,2,2,2,1,1,1,1
292,8,3,3,2,2,2,1,1,1
293,8,1,3,3,3,2,1,1,1
294,6,1,2,2,2,2,1,1,1
295,6,3,2,2,2,2,1,1,2
296,2,1,2,1,2,1,1,1,1
297,1,3,2,1,1,1,1,1,2
298,1,4,1,NA,3,1,1,1,2
299,9,2,3,3,2,2,1,1,1
300,10,3,3,3,3,2,1,1,2
301,6,3,3,2,2,2,1,1,2
302,7,2,2,2,2,2,1,2,2
303,9,1,3,3,3,2,1,2,1
304,6,2,2,2,2,2,1,2,1
305,7,2,2,3,2,2,1,2,1
306,6,1,3,3,2,2,1,1,1
307,10,3,3,2,2,2,1,1,1
308,6,2,2,2,2,2,1,2,1
309,7,3,3,3,1,1,1,2,1
310,6,3,2,1,2,2,1,1,2
311,10,3,3,2,3,2,1,1,1
312,10,3,3,3,2,2,1,2,2
313,6,2,2,3,2,2,1,1,1
314,7,3,2,2,2,2,1,1,1
315,6,3,1,1,2,2,1,1,1
316,7,1,3,2,2,2,1,1,1
317,9,1,3,3,1,2,1,1,1
318,10,2,3,3,2,2,1,1,1
319,12,3,3,3,2,2,1,2,1
320,1,3,2,1,2,1,1,2,1
321,10,3,2,2,2,2,1,1,1
322,10,2,3,3,2,2,1,2,1
323,5,2,2,1,2,2,1,1,2
324,12,2,3,3,2,2,1,1,1
325,10,3,3,2,3,2,1,1,1
326,7,1,2,2,2,2,1,1,1
327,10,2,3,3,2,2,1,2,1
328,7,3,2,3,2,2,1,1,2
329,1,1,2,1,2,1,1,1,1
330,10,2,3,3,2,1,1,2,1
331,6,1,2,2,3,2,1,1,1
332,2,1,1,1,2,1,2,2,2
333,7,1,3,3,3,1,1,1,1
334,8,3,2,3,2,2,1,1,1
335,7,2,2,3,2,2,1,2,1
336,3,1,2,2,3,1,1,1,1
337,13,2,3,3,2,1,1,1,2
338,8,1,2,2,2,2,1,1,1
339,10,3,3,2,2,2,1,1,1
340,9,1,2,2,3,2,1,1,2
341,9,1,3,3,2,2,1,1,1
342,10,3,3,2,3,2,1,2,2
343,11,3,3,3,2,2,1,2,2
344,NA,3,3,3,2,NA,1,2,2
345,10,3,3,2,3,2,1,2,2
346,10,3,3,3,3,1,1,1,2
347,7,3,2,2,2,2,1,1,1
348,NA,4,1,1,3,2,1,1,1
349,NA,2,2,3,3,NA,1,2,2
350,NA,4,3,2,2,NA,1,1,2
351,NA,2,3,3,3,NA,1,2,1
352,8,2,3,3,2,2,1,1,1
353,11,3,3,3,2,2,1,1,1
354,NA,3,2,3,2,2,1,1,2
355,1,4,2,3,2,1,1,2,1
356,10,1,3,3,1,2,1,1,2
357,6,2,2,1,2,2,1,1,1
358,9,3,2,2,3,2,1,1,1
359,12,2,3,2,2,2,1,1,1
360,7,3,2,3,3,2,1,1,1
361,6,1,2,2,3,2,1,1,2
362,10,2,2,2,2,2,1,2,1
363,1,1,2,3,2,1,2,2,2
364,9,1,3,2,3,2,2,2,2
